Src IP,Timestamp,Mean_Packet_Size,Packet_Size_Variance,Mean_IAT,Port_Diversity,IP_Entropy,Label,Mean_RSSI,RSSI_Variance,JA3_Diversity
Node C,2025-11-11 22:03:23.974254,0,0,0,0,0,0,-74.4,58.12,0
Node C,2025-11-11 22:08:23.974254,0,0,0,0,0,0,-60.66,62.264399999999995,0
Node C,2025-11-11 22:13:23.974254,0,0,0,0,0,0,-60.26,55.83240000000001,0
Node C,2025-11-11 22:18:23.974254,0,0,0,0,0,0,-68.86,134.4804,0
Node C,2025-11-11 22:23:23.974254,0,0,0,0,0,0,-68.98,115.81960000000002,0
Node C,2025-11-11 22:28:23.974254,0,0,0,0,0,0,-78.14,56.72040000000001,0
Node C,2025-11-11 22:33:23.974254,0,0,0,0,0,0,-81.5,74.37,0
Node C,2025-11-11 22:38:23.974254,0,0,0,0,0,0,-72.84,80.4944,0
Node C,2025-11-11 22:43:23.974254,0,0,0,0,0,0,-76.8,83.03999999999998,0
Node C,2025-11-11 22:48:23.974254,0,0,0,0,0,0,-70.54,63.7684,0
Node C,2025-11-11 22:53:23.974254,0,0,0,0,0,0,-68.54,58.48839999999999,0
Node C,2025-11-11 22:58:23.974254,0,0,0,0,0,0,-76.76,65.06240000000001,0
Node C,2025-11-11 23:03:23.974254,0,0,0,0,0,0,-76.82,60.78759999999999,0
Node C,2025-11-11 23:08:23.974254,0,0,0,0,0,0,-74.86,55.1604,0
Node C,2025-11-11 23:13:23.974254,0,0,0,0,0,0,-73.38,41.15559999999999,0
Node C,2025-11-11 23:18:23.974254,0,0,0,0,0,0,-77.8,55.28,0
Node C,2025-11-11 23:23:23.974254,0,0,0,0,0,0,-77.24,69.30239999999999,0
Node C,2025-11-11 23:28:23.974254,0,0,0,0,0,0,-40.22,416.17159999999996,0
Node C,2025-11-11 23:33:23.974254,0,0,0,0,0,0,-28.48,0.24960000000000002,0
Node C,2025-11-11 23:38:23.974254,0,0,0,0,0,0,-28.46,0.32839999999999997,0
Node C,2025-11-11 23:43:23.974254,0,0,0,0,0,0,-28.4,0.23999999999999996,0
Node C,2025-11-11 23:48:23.974254,0,0,0,0,0,0,-26.3,3.73,0
Node C,2025-11-11 23:53:23.974254,0,0,0,0,0,0,-24.24,0.18239999999999995,0
Node C,2025-11-11 23:58:23.974254,0,0,0,0,0,0,-30.14,69.2404,0
Node C,2025-11-12 00:03:23.974254,0,0,0,0,0,0,-37.34,1.1844,0
Node C,2025-11-12 00:08:23.974254,0,0,0,0,0,0,-35.88,2.7056,0
